Algorithm: Kruskal's MST

MST edges:
73085 80521 1
4315 94557 1
34290 93836 1
28885 81935 1
33220 89147 1
6304 38854 1
51310 54305 1
20881 54003 1
47826 87580 1
23021 30262 1
62314 94082 1
63007 82759 1
89901 97957 1
1069 7041 1
1070 6876 1
17170 43577 1
30444 45200 1
78315 94411 1
15495 33102 1
20890 67696 1
35135 36020 1
12881 31863 1
63009 82446 1
42029 95154 1
9124 11112 1
3168 3264 1
20891 48354 1
4319 30427 1
63009 82426 1
47813 86676 1
24657 70304 1
17185 17201 1
89905 95473 1
32280 58742 1
1705 82843 1
9270 43019 1
68616 96116 1
26794 77051 1
194 220 1
15513 98735 1
15515 50580 1
1081 83837 1
51351 60945 1
5610 50609 1
23003 26088 1
3201 36854 1
47795 54705 1
6287 49503 1
32299 32610 1
7704 30129 1
43185 81884 1
7704 57188 1
8041 69575 1
20854 87646 1
1681 83628 1
52931 93011 1
89838 97734 1
47803 95285 1
12904 31853 1
45579 71443 1
35592 45758 1
66819 70766 1
39934 72150 1
67936 75181 1
10237 54937 1
20867 29206 1
11703 44529 1
36342 90919 1
47802 82606 1
9636 18929 1
52959 77975 1
26766 30734 1
459 11017 1
19654 72214 1
15513 38143 1
1723 93188 1
4359 4904 1
17247 44489 1
36757 40567 1
15426 55030 1
3133 31959 1
1725 12089 1
30508 61562 1
17239 98144 1
23054 52839 1
3128 18763 1
17235 41689 1
32254 66178 1
26810 74590 1
23049 97634 1
37867 72922 1
17232 87121 1
11693 59469 1
53042 75056 1
20943 51812 1
30535 87009 1
1737 3107 1
58563 97099 1
30530 95465 1
1734 2074 1
1039 41260 1
47938 95928 1
11687 43902 1
4352 25709 1
68641 71125 1
37358 82212 1
7675 44068 1
5569 50018 1
5570 18959 1
23057 62840 1
3127 16248 1
24682 56713 1
19603 79282 1
1717 2491 1
1716 74307 1
67925 94591 1
36751 89924 1
9930 92199 1
55879 57149 1
54846 94151 1
45534 86515 1
64336 73868 1
8573 40258 1
22285 99509 1
17201 36044 1
62725 85123 1
24664 39239 1
25794 76866 1
28870 89107 1
25802 60293 1
35612 50379 1
1720 8333 1
1722 3256 1
19594 83893 1
3138 47762 1
1050 87797 1
6326 71559 1
178 871 1
61474 81141 1
1051 26737 1
455 745 1
12868 35442 1
