Algorithm: Kruskal's MST

MST edges:
11120 60559 1
46792 73508 1
15064 20836 1
23621 63278 1
16407 42321 1
3862 35455 1
45827 67678 1
230 663 1
11120 49321 1
21932 60604 1
67769 69573 1
35406 70774 1
21930 49657 1
77349 86591 1
23626 40134 1
23626 90716 1
44530 70235 1
31124 43198 1
4088 17869 1
712 27822 1
32939 33493 1
52331 83521 1
26125 46132 1
18397 33302 1
53538 62585 1
52325 99886 1
13897 86802 1
44531 76063 1
35418 90879 1
41878 44856 1
15063 85254 1
58917 75530 1
16965 40423 1
26119 48227 1
4425 17071 1
85664 92573 1
21101 36289 1
28825 96529 1
9902 17607 1
7780 99166 1
62162 77169 1
26097 64039 1
4090 64128 1
35401 54930 1
26099 70791 1
9903 10388 1
58947 82932 1
15070 67945 1
23633 34997 1
11137 80511 1
5671 43526 1
26093 49050 1
18392 76958 1
1076 76324 1
13901 24448 1
27209 82125 1
35405 53252 1
6860 55282 1
4865 16241 1
35403 64683 1
30513 45281 1
21935 47261 1
27211 56957 1
61060 93085 1
32959 38942 1
91367 98884 1
27212 46715 1
20215 52822 1
72174 87078 1
7797 33092 1
716 8760 1
71638 78934 1
15055 51279 1
69593 78326 1
12800 54965 1
21945 74949 1
36090 68176 1
69598 80013 1
18914 38904 1
16019 85675 1
43246 90988 1
64076 66973 1
13226 39024 1
16730 62576 1
63295 87683 1
42241 82894 1
37155 47902 1
74377 94385 1
52373 69293 1
52373 63438 1
63299 85279 1
716 71224 1
32911 83328 1
40703 70222 1
62176 90499 1
16018 24894 1
12803 26111 1
21947 33053 1
7800 31848 1
28783 91546 1
12802 20938 1
1974 25643 1
40702 93217 1
16013 51623 1
21098 53136 1
44515 89207 1
1067 23556 1
16014 98849 1
37168 94477 1
17697 74286 1
233 269 1
61613 75595 1
65427 67434 1
11109 16866 1
52335 85337 1
48794 92713 1
20880 61164 1
67775 96128 1
23611 70183 1
52332 98222 1
52342 90369 1
68854 91211 1
10467 14694 1
63291 69063 1
37165 49817 1
23605 53475 1
85591 87218 1
20228 23449 1
36093 46251 1
48081 63994 1
82855 95989 1
65949 87244 1
4086 80748 1
46540 80383 1
23607 90555 1
46787 64512 1
53528 62728 1
85745 92373 1
16984 97712 1
20185 88404 1
85737 95281 1
39167 76451 1
