Algorithm: Prim's MST

MST edges:
0 41 5
0 22 7
22 46 2
22 73 2
46 4 5
22 37 7
22 88 7
4 61 8
37 17 9
17 24 7
17 6 9
0 45 11
45 5 8
45 78 11
61 30 11
41 66 12
88 93 12
93 47 4
73 8 14
66 39 16
39 87 11
87 43 3
87 20 12
20 62 15
62 44 6
44 19 3
43 92 16
0 91 17
91 35 6
35 9 5
35 76 10
73 26 17
41 25 19
25 31 3
25 13 10
13 33 1
33 23 2
33 67 5
67 75 2
25 68 18
68 82 13
91 15 19
15 77 19
77 72 6
77 81 16
81 95 8
5 58 20
66 10 21
10 97 13
97 42 20
42 21 10
42 65 17
65 29 14
10 3 21
66 54 21
91 32 21
32 84 5
4 85 22
85 56 7
13 1 22
1 48 14
48 59 10
59 64 8
59 69 8
59 79 8
48 96 17
96 38 6
96 51 18
48 71 20
71 57 15
57 28 18
28 55 8
28 49 16
30 36 22
36 50 18
61 7 22
7 89 15
20 83 23
83 2 18
35 27 23
38 11 23
64 63 23
15 90 24
26 16 25
16 14 15
9 53 26
19 34 30
34 74 14
24 12 30
32 94 31
71 40 32
97 60 33
87 99 37
99 70 27
70 80 30
38 86 39
74 98 43
1 52 58
13 18 60

Total MST weight: 1570

Execution Time: 0.998 ms
